Respondent_ID,Persona_Cluster_Seed,Q1_Age_Group,Q2_Gender,Q3_Emirate,Q4_Monthly_Income_AED,Nationality,Occupation,Q5_Experience_Level,Q6_Days_Per_Week,Q7_Weekly_Distance_km,Q8_Terrain,Q9_Training_Goal,Q10_Foot_Width,Q11_Foot_Issues,Q12_Shoe_Priority,Q13_Sole_Type,Q14_Fit_Style,Q15_Color_Pref,Q16_Accessories,Q17_Trusted_Brands,Q18_Spend_Per_Pair_AED,Q19_Purchase_Frequency,Q20_Purchase_Channel,Q21_Brand_Switch_Motivator,Q22_Current_Shoe_Satisfaction_1_7,Q23_App_Comfort,Q24_WTP_App_AED_Month,Q25_App_Interest,Q26_Running_Motivation,Q27_Runner_Identity_1_5,Q28_Running_Club_Member,Q29_Peer_Influence_1_5,Q30_Sustainability_Importance_1_5,Q31_Min_Discount_To_Switch,Q32_Waits_For_Sales,Q33_Fitness_Apps_Used,Q34_Used_AI_Shopping_Before,Q35_Brand_Switch_Likelihood_1_5
UAE_0001,Social_Community_Runner,25-34,Male,Ajman,"10,001-20,000",South Asian,Fitness professional,Intermediate,5-6 days,Less than 10km,Road/Pavement; Treadmill; Beach/Sand,5K,Standard/Medium,High arch; None,Speed/Performance,Thick/Plush,Roomy toe box,Limited Edition,Running socks; GPS Watch,Adidas; ASICS; New Balance,400-600,Every 4-6 months,Online (Amazon/Noon); During sales,Expert AI,5,Very comfortable,25-50 AED,Neutral/Unsure,Social/Community,4,Yes,4,4,5% or less,No,Apple Watch/Health,Yes,3
UAE_0002,Casual_Lifestyle_Runner,18-24,Male,Sharjah,"10,001-20,000",South Asian,Homemaker,Intermediate,3-4 days,Less than 10km,Trail/Desert,10K,Standard/Medium,,Comfort/Cushioning,Medium/Balanced,Standard fit,Earthy/Natural,,Nike,Under 200,Once a year,Brand stores,Friend/Community,6,Slightly uncomfortable,Up to 10 AED,Definitely would not,Weight management,5,No,4,2,50%+,Yes,Garmin,No,5
UAE_0003,Wellness_Professional,18-24,Female,Dubai,"Above 60,000",Western,Corporate/Salaried,Intermediate,1-2 days,10-25km,Treadmill,No goal/fun,Wide,Knee pain,Injury Prevention,Medium/Balanced,Standard fit,Earthy/Natural,Compression wear,Adidas; ASICS; Hoka,Above 1200,Once a year,Brand stores; Sports retailers; Online (Amazon/Noon),Professional review,6,Comfortable,10-25 AED,Definitely would use,General fitness,4,No,2,4,20-30%,No,Nike Run Club,Yes,1
UAE_0004,Serious_Age_Grouper,45-54,Female,Dubai,"35,001-60,000",South Asian,Fitness professional,Advanced/Competitive,Daily,Less than 10km,Road/Pavement,5K,Wide,,Speed/Performance,Medium/Balanced,Standard fit,Solid neutral,Foam roller,Nike; Adidas; New Balance,200-400,Once a year,Sports retailers; Online (Amazon/Noon),Free trial,5,Comfortable,10-25 AED,Definitely would use,Competitive performance,5,No,5,3,20-30%,No,Strava; Apple Watch/Health,Yes,3
UAE_0005,Aspirational_Beginner,25-34,Female,Fujairah,"10,001-20,000",Western,Student,Beginner,I don't run yet,Less than 10km,Beach/Sand,Weight loss,Standard/Medium,Flat feet/Low arch; Bunions; None,Comfort/Cushioning,Thick/Plush,Snug/Sock-like,Bold/Bright,,Nike; ASICS,Above 1200,Every 4-6 months,Brand stores; Sports retailers,Discount,3,Neutral,25-50 AED,Unlikely,Mental health,3,Yes,3,1,20-30%,No,Strava,Yes,3
UAE_0006,Aspirational_Beginner,35-44,Male,Dubai,"5,000-10,000",East/SE Asian,Student,Beginner,1-2 days,10-25km,Road/Pavement,No goal/fun,Not sure,Flat feet/Low arch; Knee pain,Injury Prevention,Thick/Plush,Snug/Sock-like,Bold/Bright,,Adidas,600-900,Once a year,Brand stores; Online (Amazon/Noon),Discount,3,Comfortable,Won't pay,Unlikely,Weight management,2,Yes,4,4,20-30%,Yes,,No,3
UAE_0007,Aspirational_Beginner,Under 18,Male,Abu Dhabi,"5,000-10,000",Arab (non-GCC),Corporate/Salaried,Beginner,5-6 days,Less than 10km,Road/Pavement; Treadmill; Track,Weight loss,Standard/Medium,,Lightweight,Thick/Plush,Adjustable/Boa,Bold/Bright,,Saucony,200-400,Rarely/Not yet,Sports retailers,Discount,4,Prefer in-store,25-50 AED,Neutral/Unsure,Social/Community,3,No,3,1,20-30%,No,,No,5
UAE_0008,Ultra_Trail_Specialist,25-34,Female,Dubai,"35,001-60,000",South Asian,Fitness professional,Advanced/Competitive,3-4 days,50-80km,Trail/Desert,Half Marathon,Wide,,Durability/Value,Thin/Minimal,Standard fit,Limited Edition,Running socks; Custom insoles,Nike; Saucony,900-1200,Every 4-6 months,Sports retailers; Online (Amazon/Noon); Running specialty,Friend/Community,7,Very comfortable,50+ AED,Likely would use,Explore outdoors,4,Yes,4,5,20-30%,Yes,,No,4
UAE_0009,Serious_Age_Grouper,25-34,Male,Dubai,"20,001-35,000",South Asian,Corporate/Salaried,Experienced,3-4 days,50-80km,Treadmill,Full Marathon,Wide,High arch; Plantar fasciitis,Durability/Value,No preference,Standard fit,Earthy/Natural,Running socks; GPS Watch,Nike; ASICS,200-400,Once a year,Brand stores,Friend/Community,6,Very comfortable,10-25 AED,Definitely would use,Weight management,5,Yes,4,3,5% or less,No,Strava; Garmin; Nike Run Club,No,1
UAE_0010,Wellness_Professional,25-34,Female,Dubai,"5,000-10,000",South Asian,Corporate/Salaried,Experienced,1-2 days,25-50km,Treadmill,10K,Standard/Medium,Knee pain,Style/Brand,Medium/Balanced,Roomy toe box,Metallic/Premium,Custom insoles; Running belt/Hydration,Hoka; On Running,600-900,Once a year,Online (Amazon/Noon),Friend/Community,5,Comfortable,Up to 10 AED,Definitely would use,Social/Community,4,No,4,4,20-30%,Yes,Apple Watch/Health; Nike Run Club,Yes,4
